location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Escuela E-10,Tocopilla,CL,2017-03-11T01:00:00.000Z,2017-03-10T22:00:00-03:00,pm10,52.96,µg/m³,-22.085518710314,-70.188682515839,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Nueva Libertad,Talcahuano,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,pm10,52.42,µg/m³,-36.735998,-73.118693,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Compañía Siderurgica Huachipato""}]"
Sierra Gorda ,Sierra Gorda,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,pm10,23,µg/m³,-22.888724142633,-69.318140714844,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sierra Gorda SCM""}]"
Erbaa,Tokat,TR,2017-03-11T00:00:00.000Z,2017-03-11T02:00:00+02:00,no2,14,µg/m³,40.671785,36.5616356,"[{""name"":""National Air Quality Monitoring Network"",""url"":""http://index.havaizleme.gov.tr/Dynamic/0""}]"
Erbaa,Tokat,TR,2017-03-11T00:00:00.000Z,2017-03-11T02:00:00+02:00,so2,15,µg/m³,40.671785,36.5616356,"[{""name"":""National Air Quality Monitoring Network"",""url"":""http://index.havaizleme.gov.tr/Dynamic/0""}]"
Erbaa,Tokat,TR,2017-03-11T00:00:00.000Z,2017-03-11T02:00:00+02:00,pm10,94,µg/m³,40.671785,36.5616356,"[{""name"":""National Air Quality Monitoring Network"",""url"":""http://index.havaizleme.gov.tr/Dynamic/0""}]"
Coquimbo,Coquimbo,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,pm25,7,µg/m³,-29.970390235273,-71.336038250122,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Andacollo,Andacollo,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,pm10,66.53,µg/m³,-30.227767752117,-71.086126833637,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quillón,Quillón,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,so2,5.12,µg/m³,-36.743905,-72.47721,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Celulosa Arauco y Constitución""}]"
Nueva  Aldea,Ránquil,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,pm10,6.03,µg/m³,-36.659117056491,-72.479961370361,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Celulosa Arauco y Constitución""}]"
Cayumanqui,Quillón,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,so2,2.57,µg/m³,-36.683859,-72.465292,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Celulosa Arauco y Constitución""}]"
Escuela E-10,Tocopilla,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,so2,11.57,µg/m³,-22.085518710314,-70.188682515839,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,no2,27.31,µg/m³,-22.085518710314,-70.188682515839,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,co,660.92,µg/m³,-22.085518710314,-70.188682515839,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2017-03-11T00:00:00.000Z,2017-03-10T21:00:00-03:00,o3,5.47,µg/m³,-22.085518710314,-70.188682515839,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
