location,city,country,year,month,parameter,value,latitude,longitude
Punjabi Bagh,Delhi,IN,2015,6,so2,8.774509803921571,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,6,pm25,47.698113207547166,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,6,pm10,94.35294117647058,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,6,o3,83.34468085106384,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,6,no2,58.58888888888888,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,6,co,1108.888888888889,28.6683,77.1167
Anand Vihar,Delhi,IN,2015,6,co,941.3793103448276,28.6508,77.3152
RK Puram,Delhi,IN,2015,6,o3,21.84583333333333,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,6,pm10,103.32,28.6341,77.2005
RK Puram,Delhi,IN,2015,6,so2,5.6173913043478265,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,6,o3,13.13846153846154,28.6341,77.2005
RK Puram,Delhi,IN,2015,6,no2,54.5625,28.5648,77.1744
RK Puram,Delhi,IN,2015,6,pm25,49.61904761904761,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,6,pm25,52.185185185185176,28.6341,77.2005
Mandir Marg,Delhi,IN,2015,6,no2,46.94285714285713,28.6341,77.2005
Anand Vihar,Delhi,IN,2015,6,no2,55.8103448275862,28.6508,77.3152
Anand Vihar,Delhi,IN,2015,6,pm25,62.07142857142857,28.6508,77.3152
Anand Vihar,Delhi,IN,2015,6,pm10,164.88,28.6508,77.3152
RK Puram,Delhi,IN,2015,6,pm10,93.0,28.5648,77.1744
Anand Vihar,Delhi,IN,2015,6,so2,12.324137931034482,28.6508,77.3152
Mandir Marg,Delhi,IN,2015,6,co,582.1428571428571,28.6341,77.2005
RK Puram,Delhi,IN,2015,6,co,1750.0,28.5648,77.1744
Anand Vihar,Delhi,IN,2015,6,o3,69.80454545454546,28.6508,77.3152
Anand Vihar,Delhi,IN,2015,7,pm10,245.72235294117644,28.6508,77.3152
Mandir Marg,Delhi,IN,2015,7,no2,33.26896551724139,28.6341,77.2005
RK Puram,Delhi,IN,2015,7,no2,45.352760736196316,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,7,co,663.304347826087,28.6341,77.2005
RK Puram,Delhi,IN,2015,7,o3,22.229305135951662,28.5648,77.1744
