location,city,country,year,month,parameter,value,latitude,longitude
US Diplomatic Post: Jakarta South,Jakarta,ID,2016,01,pm25,-25.78466076696165,-6.236585,106.79333500000001
US Diplomatic Post: Jakarta Central,Jakarta,ID,2016,01,pm25,-27.941002949852507,-6.182382,106.834094
US Diplomatic Post: Ulaanbaatar,Ulaanbaatar,MN,2016,01,pm25,286.7507374631268,47.928444,106.93018899999998
US Diplomatic Post: Hanoi,Hanoi,VN,2016,01,pm25,-9.793805309734518,21.02177,105.819002
US Diplomatic Post: Hyderabad,Hyderabad,IN,2016,01,pm25,-95.4424778761062,17.443464000000002,78.47489
US Diplomatic Post: Chennai,Chennai,IN,2016,01,pm25,-158.50147492625368,13.052371,80.251932
US Diplomatic Post: Mumbai,Mumbai,IN,2016,01,pm25,54.74778761061947,19.066023,72.868702
US Diplomatic Post: Kolkata,Kolkata,IN,2016,01,pm25,156.976401179941,22.547142,88.35104799999999
US Diplomatic Post: New Delhi,Delhi,IN,2016,01,pm25,263.3480825958702,28.598096,77.189066
IGFPAN,Belsk,PL,2016,01,o3,30.427248677248677,51.83518056,20.788889
IGFPAN,Belsk,PL,2016,01,co,635.1984126984127,51.83518056,20.788889
IGFPAN,Belsk,PL,2016,01,so2,11.379329608938546,51.83518056,20.788889
KPN,Granica,PL,2016,01,o3,28.04114832535885,52.28585778,20.45555556
Zegrzy?ska,Legionowo,PL,2016,01,o3,26.00289389067524,52.40757694,20.95555556
IGFPAN,Belsk,PL,2016,01,no2,18.04042553191489,51.83518056,20.788889
Zegrzy?ska,Legionowo,PL,2016,01,so2,5.44807073954984,52.40757694,20.95555556
KPN,Granica,PL,2016,01,so2,6.190590111642743,52.28585778,20.45555556
KPN,Granica,PL,2016,01,no2,20.43550955414013,52.28585778,20.45555556
Zegrzy?ska,Legionowo,PL,2016,01,no2,17.412721417069243,52.40757694,20.95555556
Pu?askiego,Piastów,PL,2016,01,no2,30.85109034267913,52.19172722,20.83888889
Pu?askiego,Piastów,PL,2016,01,pm25,51.12447325769854,52.19172722,20.83888889
Pu?askiego,Piastów,PL,2016,01,so2,12.250078492935634,52.19172722,20.83888889
Pu?askiego,Piastów,PL,2016,01,o3,24.47897196261682,52.19172722,20.83888889
Tochtermana,Radom,PL,2016,01,co,996.2734375,51.39909556,21.13916667
Tochtermana,Radom,PL,2016,01,pm10,50.48738317757009,51.39909556,21.13916667
Tochtermana,Radom,PL,2016,01,o3,20.923307086614177,51.39909556,21.13916667
Tochtermana,Radom,PL,2016,01,so2,12.01546875,51.39909556,21.13916667
Tochtermana,Radom,PL,2016,01,pm25,46.050778816199376,51.39909556,21.13916667
Konarskiego,Siedlce,PL,2016,01,so2,7.805067567567568,52.17203333,22.27277778
Tochtermana,Radom,PL,2016,01,no2,28.21034482758621,51.39909556,21.13916667
Konarskiego,Siedlce,PL,2016,01,no2,19.59172297297297,52.17203333,22.27277778
Konarskiego,Siedlce,PL,2016,01,pm25,55.56829679595278,52.17203333,22.27277778
Konarskiego,Siedlce,PL,2016,01,pm10,59.498819561551436,52.17203333,22.27277778
Konarskiego,Siedlce,PL,2016,01,co,796.5236486486486,52.17203333,22.27277778
Konarskiego,Siedlce,PL,2016,01,o3,34.88138747884941,52.17203333,22.27277778
Komunikacyjna,Warszawa,PL,2016,01,co,1050.9233226837061,52.21929306,21.00583333
Komunikacyjna,Warszawa,PL,2016,01,pm25,47.56656050955414,52.21929306,21.00583333
Marsza?kowska,Warszawa,PL,2016,01,pm25,48.32078740157481,52.22517222,21.89311111
Komunikacyjna,Warszawa,PL,2016,01,pm10,54.2828025477707,52.21929306,21.00583333
Marsza?kowska,Warszawa,PL,2016,01,no2,43.0242088607595,52.22517222,21.89311111
Komunikacyjna,Warszawa,PL,2016,01,no2,55.7265923566879,52.21929306,21.00583333
Marsza?kowska,Warszawa,PL,2016,01,pm10,56.040944881889764,52.22517222,21.89311111
Marsza?kowska,Warszawa,PL,2016,01,co,1012.1772151898734,52.22517222,21.89311111
Targówek,Warszawa,PL,2016,01,so2,8.58546875,52.29085889,21.03916667
Targówek,Warszawa,PL,2016,01,o3,18.727968750000002,52.29085889,21.03916667
Targówek,Warszawa,PL,2016,01,pm25,35.7046875,52.29085889,21.03916667
Targówek,Warszawa,PL,2016,01,no2,35.2496875,52.29085889,21.03916667
Targówek,Warszawa,PL,2016,01,co,709.34375,52.29085889,21.03916667
Ursynów,Warszawa,PL,2016,01,so2,12.239285714285716,52.16077306,21.03916667
Targówek,Warszawa,PL,2016,01,pm10,38.943593750000005,52.29085889,21.03916667
Ursynów,Warszawa,PL,2016,01,o3,18.52391304347826,52.16077306,21.03916667
Ursynów,Warszawa,PL,2016,01,pm10,37.60069444444444,52.16077306,21.03916667
Ursynów,Warszawa,PL,2016,01,no2,32.02819314641744,52.16077306,21.03916667
Roosevelta,?yrardów,PL,2016,01,pm10,,,
Ursynów,Warszawa,PL,2016,01,pm25,34.59725490196078,52.16077306,21.03916667
Roosevelta,?yrardów,PL,2016,01,pm25,,,
Reja,P?ock,PL,2016,01,pm10,39.410452418096725,52.55094028,19.70527778
Reja,P?ock,PL,2016,01,co,826.9092331768388,52.55094028,19.70527778
Reja,P?ock,PL,2016,01,so2,7.1425,52.55094028,19.70527778
Reja,P?ock,PL,2016,01,no2,21.6484375,52.55094028,19.70527778
Reja,P?ock,PL,2016,01,pm25,36.324648985959435,52.55094028,19.70527778
Podle?na,Warszawa,PL,2016,01,o3,19.64246575342466,52.28098306,20.95555556
"Nai Mueang, Mueang",Nakhon Ratchasima,TH,2016,01,so2,0.00625,14.976785802969001,102.10219652705
"Nai Mueang, Mueang",Nakhon Ratchasima,TH,2016,01,pm10,64.025,14.976785802969001,102.10219652705
"Bang Prong, Mueang",Samut Prakan,TH,2016,01,co,0.9176470588235294,13.763936293311,100.52907795046998
"Nai Wiang, Mueang",Nan,TH,2016,01,pm10,39.81818181818182,18.786142045273,100.77952643048
"Nai Mueang, Mueang",Nakhon Ratchasima,TH,2016,01,no2,0.018425000000000004,14.976785802969001,102.10219652705
"Nai Wiang, Mueang",Nan,TH,2016,01,o3,0.0105,18.786142045273,100.77952643048
