location,city,country,parameter,value,latitude,longitude,num_records
RK Puram,Delhi,IN,so2,5442.899999999988,28.5648,77.1744,713.0
RK Puram,Delhi,IN,pm25,67193.0,28.5648,77.1744,1197.0
RK Puram,Delhi,IN,co,982700.0,28.5648,77.1744,718.0
RK Puram,Delhi,IN,no2,54692.400000000096,28.5648,77.1744,1223.0
RK Puram,Delhi,IN,pm10,149479.0,28.5648,77.1744,1190.0
RK Puram,Delhi,IN,o3,31096.999999999996,28.5648,77.1744,1179.0
Punjabi Bagh,Delhi,IN,co,884700.0,28.6683,77.1167,720.0
Punjabi Bagh,Delhi,IN,o3,32787.00000000003,28.6683,77.1167,888.0
Punjabi Bagh,Delhi,IN,pm10,122035.0,28.6683,77.1167,1022.0
Punjabi Bagh,Delhi,IN,pm25,53623.0,28.6683,77.1167,874.0
Punjabi Bagh,Delhi,IN,no2,51281.10000000003,28.6683,77.1167,1041.0
Punjabi Bagh,Delhi,IN,so2,968.3999999999999,28.6683,77.1167,138.0
Mandir Marg,Delhi,IN,co,681800.0,28.6341,77.2005,926.0
Mandir Marg,Delhi,IN,so2,7999.199999999986,28.6341,77.2005,841.0
Mandir Marg,Delhi,IN,pm10,134987.0,28.6341,77.2005,1290.0
Mandir Marg,Delhi,IN,no2,47438.29999999996,28.6341,77.2005,1355.0
Mandir Marg,Delhi,IN,o3,16273.700000000017,28.6341,77.2005,1320.0
Mandir Marg,Delhi,IN,pm25,58173.0,28.6341,77.2005,1331.0
Anand Vihar,Delhi,IN,co,770900.0,28.6508,77.3152,641.0
Anand Vihar,Delhi,IN,no2,52474.80000000005,28.6508,77.3152,1085.0
Anand Vihar,Delhi,IN,o3,16328.900000000007,28.6508,77.3152,849.0
Anand Vihar,Delhi,IN,so2,12579.500000000005,28.6508,77.3152,528.0
Anand Vihar,Delhi,IN,pm25,83927.0,28.6508,77.3152,1074.0
Anand Vihar,Delhi,IN,pm10,348933.0,28.6508,77.3152,950.0
Beijing US Embassy,Beijing,CN,pm25,35212.0,39.95,116.47,805.0
London Harlington,London,GB,o3,10272.0,51.48879,-0.441614,347.0
London Bloomsbury,London,GB,pm10,7526.0,51.522290000000005,-0.125889,433.0
London Hillingdon,London,GB,o3,10869.0,51.49633,-0.46086099999999997,458.0
London Bloomsbury,London,GB,no2,14352.0,51.522290000000005,-0.125889,341.0
London Westminster,London,GB,no2,12157.0,51.49467,-0.131931,388.0
