location,city,country,parameter,value,latitude,longitude,num_records
Guangzhou,Guangzhou,CN,pm25,-172661,23.12,113.32,1501
Beijing US Embassy,Beijing,CN,pm25,84486,39.95,116.47,1501
Shenyang,Shenyang,CN,pm25,43607,41.78,123.42,1500
Chengdu,Chengdu,CN,pm25,77408,30.63,104.07,1501
Shanghai,Shanghai,CN,pm25,-27470,31.21,121.44,1501
Wollongong,Illawarra,AU,co,661,-34.4186111,150.8863889,6122
Wallsend,Lower Hunter,AU,o3,75.112,-32.8961111,151.6691667,5029
Wyong,Central Coast,AU,so2,0.108,-32.195,150.6736111,6047
Vineyard,Sydney North-west,AU,so2,1328.622,-33.6577778,150.8466667,4295
Wagga Wagga Nth,South-west Slopes,AU,pm10,15989,-35.1044444,147.3602778,2345
Prospect,Sydney North-west,AU,o3,128.167,-33.7947222,150.9125,5291
Singleton,Upper Hunter - Singleton,AU,pm10,121775.5,-32.5297222,151.1497222,4213
St Marys,Sydney North-west,AU,o3,117.148,-33.7972222,150.7658333,3370
Richmond,Sydney North-west,AU,pm10,134867.9,-33.6183333,150.7458333,5153
Rozelle,Sydney East,AU,co,526.1,-33.8658333,151.1625,5276
Tamworth,North-west Slopes,AU,pm10,13659.8,-31.1105556,150.9141667,1712
Newcastle,Lower Hunter,AU,no2,11.7766,-32.9325,151.7583333,4859
Muswellbrook,Upper Hunter - Muswellbrook,AU,pm25,35575.3,-32.2716667,150.8858333,4083
Liverpool,Sydney South-west,AU,o3,46.479,-33.9327778,150.9058333,4162
Randwick,Sydney East,AU,o3,113.173,-33.9333333,151.2419444,4152
Oakdale,Sydney South-west,AU,no2,6.7793,-34.0530556,150.4972222,3347
Campbelltown West,Sydney South-west,AU,no2,7.6978,-34.0666667,150.7952778,4599
Lindfield,Sydney East,AU,no2,28.0725,-33.7827778,151.15,4283
Kembla Grange,Illawarra,AU,so2,1331.653,-34.4763889,150.8175,4240
Camden,Sydney South-west,AU,o3,66.595,-34.0416667,150.6902778,4156
Albion Park Sth,Illawarra,AU,co,15.5,-34.5805556,150.7816667,5176
Bargo,Sydney South-west,AU,pm10,90619.5,-34.3075,150.58,4066
Chullora,Sydney East,AU,so2,1377.613,-33.8938889,151.0452778,5162
Beresfield,Lower Hunter,AU,no2,35.0235,-32.7983333,151.66,5264
Earlwood,Sydney East,AU,o3,19.545,-33.9177778,151.1347222,4131
Albury,South-west Slopes,AU,pm10,19662.9,-36.0516667,146.9741667,1358
Bathurst,Central Tablelands,AU,pm10,15783,-33.4033333,149.5733333,865
Targówek,Warszawa,PL,pm25,30282.2,52.29085889,21.03916667,1355
Targówek,Warszawa,PL,o3,55364.1,52.29085889,21.03916667,1403
Targówek,Warszawa,PL,co,844860,52.29085889,21.03916667,1402
Targówek,Warszawa,PL,no2,41148.7,52.29085889,21.03916667,1403
Targówek,Warszawa,PL,so2,8830.9,52.29085889,21.03916667,1403
Targówek,Warszawa,PL,pm10,31427.5,52.29085889,21.03916667,1347
IGFPAN,Belsk,PL,o3,47563.9,51.83518056,20.788889,863
IGFPAN,Belsk,PL,co,372548,51.83518056,20.788889,859
IGFPAN,Belsk,PL,no2,8673.6,51.83518056,20.788889,862
IGFPAN,Belsk,PL,so2,2886.5,51.83518056,20.788889,862
IGFPAN,Belsk,PL,pm10,24423.4,51.83518056,20.788889,857
Ventanas,Puchuncaví,CL,so2,15791.563,-32.7789879,-71.37303128,1320
Ventanas,Puchuncaví,CL,no2,18823.41,-32.7789879,-71.37303128,1320
